"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11305-00030,오 현,어린이공원,,서울특별시 강북구 번3동 244,37.623976,127.046488,3661,,조합놀이대 그네 시소,화장실,,,1988-12-30,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00031,색 동,어린이공원,,서울특별시 강북구 수유1동 49-7,37.633443,127.020610,2341.2,,조합놀이대 그네 흔들놀이,,,,1964-10-16,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00032,흰구름,어린이공원,,서울특별시 강북구 수유2동 252-19,37.645866,127.020635,1064,,조합놀이대 그네 시소,화장실,,,1965-07-08,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00033,희 망,어린이공원,,서울특별시 강북구 수유3동 194-41,37.640764,127.024431,976.9,,조합놀이대 그네,,,,1965-11-08,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00034,은모루,어린이공원,,서울특별시 강북구 수유3동 172-209,37.642612,127.026714,918,,조합놀이대 그네 시소,화장실,,,1965-11-08,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00035,소 귀,어린이공원,,서울특별시 강북구 수유3동 25-1,37.638742,127.018697,961,,조합놀이대 그네 시소,,,,1965-11-08,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00036,상산,어린이공원,,서울특별시 강북구 수유3동 224-4,37.638514,127.023986,972.9,,조합놀이대 그네 시소,,,,1965-11-08,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00037,흰구름,소공원,,서울특별시 강북구 수유2동 252-16,37.645951,127.020465,214,,-,,,,1990-06-08,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00038,보등골,어린이공원,,서울특별시 강북구 인수동 605-209,37.635202,127.018417,869,,조합놀이대 그네 시소,,,,1999-02-19,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00039,수유일공원,어린이공원,,서울특별시 강북구 수유1동 605-389,37.630852,127.017011,2632,,조합놀이대 그네 등,,,,2005-09-15,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00040,새 싹,어린이공원,,서울특별시 강북구 수유3동 134-40,37.636307,127.019590,651,,조합놀이대 시소,,,,,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00041,푸 른,어린이공원,,서울특별시 강북구 인수동 516-44,37.638686,127.008423,992,,조합놀이대 그네,,,,,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00042,무너미,어린이공원,서울특별시 강북구 수유동 281-2,서울특별시 강북구 수유동 281-2,37.6460665963,127.0127415356,380,,조합놀이대 시소,,,,,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00043,빨래골,어린이공원,,서울특별시 강북구 수유1동 475-115,37.629534,127.014863,476,,조합놀이대 시소 흔들놀이,,,,,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00044,장미원,어린이공원,,서울특별시 강북구 수유2동 276-10,37.646688,127.015689,340,,조합놀이대,,,,,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00045,솔밭근린공원,근린공원,,서울특별시 강북구 우이동 80,37.653184,127.012249,34955,배드민턴장,조합놀이대 그네 흔들놀이,화장실,야외무대 장기바둑쉼터 놀이마당,바닥분수,1996-10-18,서울특별시 강북구청,02-901-6926,2019-06-04
11305-00001,벽오산,어린이공원,서울특별시 강북구 미아동 258-56,서울특별시 강북구 미아동 258-56,37.6275893255,127.0302700799,1250,,조합놀이대 시소,,,,1968-04-25,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00002,미아도심소,어린이공원,서울특별시 강북구 미아동 258-148,서울특별시 강북구 미아동 258-148,37.6253621117,127.031259,1127,,조합놀이대,,,,1968-04-25,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00003,오 패,어린이공원,서울특별시 강북구 미아동 258-236,서울특별시 강북구 미아동 258-236,37.6223167202,127.032307,1084,,조합놀이대 시소 그네,,,,1968-04-25,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00004,한 빛,어린이공원,서울특별시 강북구 미아동 222-20,서울특별시 강북구 미아동 222-20,37.6276845160,127.022893,1192.1,,조합놀이대 그네,화장실,,,1964-10-16,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00005,운 산,어린이공원,서울특별시 강북구 미아동 165-3,서울특별시 강북구 미아동 165-3,37.6320907214,127.025573,995.1,,조합놀이대 그네 흔들놀이,화장실,,,1964-10-16,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00006,솔 샘,어린이공원,,서울특별시 강북구 송천동 329-15,37.618286,127.027053,1264.1,,조합놀이대 그네 흔들놀이,화장실,,,1964-10-16,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00007,으 뜸,어린이공원,서울특별시 강북구 미아동 309-43,서울특별시 강북구 미아동 309-43,37.6236103300,127.0262404614,681,,조합놀이대 시소 흔들놀이,,,,1964-10-16,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00008,세 일,어린이공원,서울특별시 강북구 미아동 159-71,서울특별시 강북구 미아동 159-71,37.6338773733,127.025270,839.7,,조합놀이대 그네 시소,,,,1964-10-16,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00009,북한산 도시자연공원,기타,서울특별시 강북구 미아동 산108-19,서울특별시 강북구 미아동 산108-19,37.621070,127.008360,128341,배드민턴장 게이트볼장 족구장,그네 회전놀이 조합놀이대,화장실,,유아숲체험원,1971-08-07,서울특별시 강북구청,02-901-6924,2019-06-04
11305-00011,응달마을,어린이공원,,서울특별시 강북구 송천동 707-73,37.618383,127.024271,866,,조합놀이대 그네 시소,화장실,,,1977-02-04,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00012,하 늘,어린이공원,,서울특별시 강북구 삼양동 791-1776,37.624880,127.012902,3367,,조합놀이대 그네 흔들놀이 시소,,,,2000-02-16,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00013,송 월,어린이공원,,서울특별시 강북구 송중동 92-7,37.616330,127.032131,807,,조합놀이대 시소 그네,,,,2002-05-27,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00014,소망,소공원,,서울특별시 강북구 삼양동 791-1467,37.626008,127.015420,320,,조합놀이대,,,,2001-05-15,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00015,미래,소공원,,서울특별시 강북구 삼양동 791-1712,37.624872,127.014615,564,,조합놀이대,,,,2001-05-25,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00016,늘푸른,소공원,,서울특별시 강북구 삼양동 797-9,37.625980,127.020225,646,,조합놀이대 흔들놀이,,,,2003-06-25,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00017,폭포,소공원,,서울특별시 강북구 삼각산동 813-6,37.614482,127.020702,1238,,-,,,,2005-11-10,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00018,꼭지,소공원,,서울특별시 강북구 삼각산동 811-7,37.617126,127.017436,746,,-,,,,2006-10-09,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00019,테두리,어린이공원,,서울특별시 강북구 삼각산동 811-8,37.618199,127.017141,1913,,조합놀이대 그네 시소,,,,2006-10-09,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00020,고갯마루,어린이공원,,서울특별시 강북구 삼각산동 811-13,37.617067,127.017399,2185.8,,조합놀이대 시소,,,,2006-10-09,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00021,미 아,어린이공원,,서울특별시 강북구 송중동 8-73,37.615502,127.037587,992,,조합놀이대 그네,,,,,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00022,강북6구역,소공원,,서울특별시 강북구 송중동 71-1,37.613866,127.030491,424.4,,-,,,,,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00023,번 남,어린이공원,,서울특별시 강북구 번1동 447-1,37.636018,127.024953,1014.9,,조합놀이대 시소 흔들놀이,화장실,,,1965-11-08,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00024,논 골,어린이공원,,서울특별시 강북구 번1동 417-27,37.638634,127.027973,991.7,,조합놀이대 시소,,,,1965-11-08,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00025,샛 강,어린이공원,,서울특별시 강북구 번1동 472-44,37.639482,127.033005,858.2,,조합놀이대 흔들놀이,화장실,,,1971-08-06,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00026,오동근린공원,근린공원,서울특별시 강북구 번동 산20-1,서울특별시 강북구 번동 산20-1,37.6292321716,127.0330423196,1346557,"실내배드민턴장, 구민운동장, 다목적체육관, 골프연습장",조합놀이대 그네 흔들놀이,화장실 약수터 주차장,도서관,유아숲체험장,1982-09-20,서울특별시 강북구청,02-901-6923,2019-06-04
11305-00010,청 암,어린이공원,,서울특별시 강북구 삼양동 776-17,37.624364,127.017047,661,,조합놀이대 그네 흔들놀이,,,,1972-04-25,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00027,오얏골,어린이공원,,서울특별시 강북구 번2동 228,37.633912,127.034511,5070.7,,조합놀이대 시소 그네 흔들놀이,화장실,,,1988-12-30,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00028,벌 리,어린이공원,,서울특별시 강북구 번3동 240,37.627774,127.044421,4083.5,,조합놀이대 그네 시소,화장실,,,1988-12-30,서울특별시 강북구청,02-901-6925,2019-06-04
11305-00029,벌 말,어린이공원,,서울특별시 강북구 번2동 235,37.629802,127.039829,4641.3,,조합놀이대 그네 시소,화장실,,,1988-12-30,서울특별시 강북구청,02-901-6925,2019-06-04
11500-00001,우장,근린공원,서울특별시 강서구 우장산로 72,서울특별시 강서구 화곡동 산60-1,37.5528204429,126.8438081897,359435.2,,,,,,1971-08-06,서울특별시 강서구청,02-2600-4185,2020-03-19
11500-00002,궁산,근린공원,,서울특별시 강서구 가양동 산4-7,37.5742536264,126.8413318635,135002.7,,,,,,1977-07-09,서울특별시 강서구청,02-2600-4185,2020-03-19
11500-00003,염창,근린공원,서울특별시 강서구 양천로67길 43,서울특별시 강서구 염창동 산24-1,37.5570073862,126.8698207908,112070,,,,,,1977-07-09,서울특별시 강서구청,02-2600-4186,2020-03-19
11500-00004,꿩고개,근린공원,,서울특별시 강서구 방화동 산97-1,37.577983,126.808105,180000,,,,,,1977-07-09,서울특별시 강서구청,02-2600-4186,2020-03-19
11500-00005,봉제산,근린공원,,서울특별시 강서구 화곡동 산1,37.539906,126.849750,917190,,,,,,1977-07-09,서울특별시 강서구청,02-2600-4184,2020-03-19
11500-00006,개화,근린공원,,서울특별시 강서구 개화동 산17,37.588010,126.796780,386500,,,,,,1977-07-09,서울특별시 강서구청,02-2600-4187,2020-03-19
11500-00007,등마루,근린공원,서울특별시 강서구 까치산로28길 33-15,서울특별시 강서구 화곡동 산199,37.5528578337,126.8562205251,74299,,,,,,1977-07-09,서울특별시 강서구청,02-2600-4187,2020-03-19
11500-00008,공암나루,근린공원,서울특별시 강서구 강서로80길 117,서울특별시 강서구 가양동 1459-9,37.5706345898,126.8490866911,25680.4,,,,,,1990-05-22,서울특별시 강서구청,02-2600-4186,2020-03-19
11500-00009,구암,근린공원,서울특별시 강서구 허준로5길 42,서울특별시 강서구 가양동 1471,37.5675986747,126.8537291459,29843.8,,,,,,1990-05-22,서울특별시 강서구청,02-2600-4186,2020-03-19
11500-00010,황금내,근린공원,서울특별시 강서구 허준로 221-40,서울특별시 강서구 가양동 1485-5,37.5617834330,126.8641035376,22002.9,,,,,,1990-05-22,서울특별시 강서구청,02-2600-4186,2020-03-19
11500-00011,원당,근린공원,서울특별시 강서구 강서로56길 49,서울특별시 강서구 등촌동 690-5,37.559782,126.8425668586,10096.4,,,,,,1990-07-26,서울특별시 강서구청,02-2600-4112,2020-03-19
11500-00012,등촌,근린공원,서울특별시 강서구 강서로62길 35,서울특별시 강서구 등촌동 687-4,37.5636832356,126.8413905040,10051.6,,,,,,1990-07-26,서울특별시 강서구청,02-2600-4112,2020-03-19
11500-00013,서낭당,근린공원,서울특별시 강서구 공항대로43길 46,서울특별시 강서구 등촌동 706,37.5588651295,126.8499841690,10248.8,,,,,,1990-07-26,서울특별시 강서구청,02-2600-4112,2020-03-19
11500-00014,방화,근린공원,서울특별시 강서구 금낭화로 176,서울특별시 강서구 방화동 855,37.580907,126.8141196919,72132,,,,,,1990-12-29,서울특별시 강서구청,02-2600-4186,2020-03-19
11500-00015,옹기골,근린공원,서울특별시 강서구 양천로 149,서울특별시 강서구 방화동 842,37.5735624693,126.8216952829,9723.6,,,,,,1990-12-29,서울특별시 강서구청,02-2600-4186,2020-03-19
11500-00016,매화,근린공원,,서울특별시 강서구 등촌동 630-14,37.557535,126.852151,1980.4,,,,,,1997-06-11,서울특별시 강서구청,02-2600-4186,2020-03-19
11500-00017,까치산,근린공원,,서울특별시 강서구 화곡동 산162-1,37.5369378127,126.8439363647,27658,,,,,,1991-04-07,서울특별시 강서구청,02-2600-4112,2020-03-19
11500-00018,수명산,근린공원,,서울특별시 강서구 내발산동 748,37.5509667849,126.8298925828,83807.1,,,,,,2003-12-26,서울특별시 강서구청,02-2600-4112,2020-03-19
11500-00019,발산,근린공원,서울특별시 강서구 마곡중앙로 11,서울특별시 강서구 내발산동 739,37.5545396332,126.8258374365,17825.5,,,,,,2005-02-01,서울특별시 강서구청,02-2600-4112,2020-03-19
11500-00020,서울식물원,근린공원,,서울특별시 강서구 마곡동 255-1,37.569783,126.823068,503875,,,,,,2007-12-28,서울특별시 강서구청,02-2600-4112,2020-03-19
11500-00021,마곡나루,근린공원,,서울특별시 강서구 방화동 210-1,37.566183,126.813091,17283,,,,,,2007-12-28,서울특별시 강서구청,02-2600-4112,2020-03-19
11500-00022,마곡하늬,근린공원,,서울특별시 강서구 공항동 1220,37.556699,126.812659,24597,,,,,,2007-12-28,서울특별시 강서구청,02-2600-4112,2020-03-19
11500-00023,이수,어린이공원,,서울특별시 강서구 염창동 281-3외 1,37.548414,126.874399,1805.1,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00024,백합,어린이공원,,서울특별시 강서구 염창동 267-24,37.551163,126.869438,939.3,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00025,아리수,어린이공원,,서울특별시 강서구 염창동 299-3,37.551786,126.875286,862.5,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00026,등서,어린이공원,,서울특별시 강서구 등촌동 639-2,37.5592350807,126.854759,879.7,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00027,백석,어린이공원,,서울특별시 강서구 등촌동 646-41,37.5526103913,126.8633280124,993.6,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00028,등마루,어린이공원,,서울특별시 강서구 등촌동 641-5,37.556275,126.857379,970.9,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00029,도림,어린이공원,,서울특별시 강서구 등촌동 635-1,37.555871,126.862860,1033.8,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00030,능안,어린이공원,,서울특별시 강서구 등촌동 517-1,37.5466381733,126.8599079070,853.9,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00031,한마음,어린이공원,,서울특별시 강서구 등촌동 690-3,37.560723,126.843248,1791.8,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00032,새나라,어린이공원,,서울특별시 강서구 등촌동 707-2,37.561860,126.852004,1563.4,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00033,백합,어린이공원,,서울특별시 강서구 등촌동 695-4,37.559303,126.844996,1547.4,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00034,채송화,어린이공원,,서울특별시 강서구 등촌동 694-1,37.562782,126.845988,1544.9,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00035,푸르매,어린이공원,,서울특별시 강서구 등촌동 705-3,37.559106,126.847497,1538.3,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00036,새벗,어린이공원,,서울특별시 강서구 등촌동 688-3,37.560710,126.840279,1565.8,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00037,코끼리,어린이공원,,서울특별시 강서구 등촌동 702-1,37.563238,126.848535,1594.5,,,,,,,서울특별시 강서구청,02-2600-4183,2020-03-19
11500-00038,구름,어린이공원,,서울특별시 강서구 화곡동 98-22,37.5433028056,126.844116,833,,,,,,,서울특별시 강서구청,02-2600-4181,2020-03-19
